UpdateCount,WinRate
1,100.000000
2,100.000000
3,100.000000
4,100.000000
5,100.000000
6,83.333333
7,85.714286
8,87.500000
9,77.777778
10,70.000000
11,63.636364
12,58.333333
13,61.538462
14,57.142857
15,60.000000
16,60.000000
17,62.500000
18,58.823529
19,55.555556
20,57.894737
21,55.000000
22,55.000000
23,52.380952
24,52.380952
25,52.380952
26,50.000000
27,47.826087
28,45.833333
29,45.833333
30,45.833333
31,44.000000
32,44.000000
33,42.307692
34,42.307692
35,40.740741
36,40.740741
37,40.740741
38,39.285714
39,37.931034
40,36.666667
41,36.666667
42,38.709677
43,38.709677
44,37.500000
45,39.393939
46,39.393939
47,39.393939
48,38.235294
49,38.235294
50,38.235294
51,37.142857
52,38.888889
53,40.540541
54,39.473684
55,39.473684
56,38.461538
57,37.500000
58,39.024390
59,38.095238
60,39.534884
61,39.534884
62,38.636364
63,38.636364
64,37.777778
65,36.956522
66,38.297872
67,37.500000
68,37.500000
69,36.734694
70,38.000000
71,39.215686
72,38.461538
73,37.735849
74,37.735849
75,37.037037
76,36.363636
77,36.363636
78,36.363636
79,35.714286
80,35.087719
81,34.482759
82,33.898305
83,33.333333
84,32.786885
85,32.258065
86,31.746032
87,31.250000
88,31.250000
89,30.769231
90,30.303030
91,31.343284
92,30.882353
93,30.434783
94,30.000000
95,29.577465
96,30.555556
97,30.136986
98,30.136986
99,29.729730
100,30.666667
101,30.263158
102,31.168831
103,30.769231
104,31.645570
105,32.500000
106,33.333333
107,32.926829
108,33.734940
109,33.333333
110,32.941176
111,32.558140
112,33.333333
113,33.333333
114,33.333333
115,32.954545
116,32.584270
117,32.222222
118,32.967033
119,32.967033
120,32.608696
121,33.333333
122,34.042553
123,33.684211
124,34.375000
125,35.051546
126,35.714286
127,36.363636
128,36.000000
129,36.633663
130,36.274510
131,36.893204
132,36.538462
133,37.142857
134,37.735849
135,37.383178
136,37.037037
137,37.614679
138,38.181818
139,37.837838
140,38.392857
141,38.938053
142,39.473684
143,40.000000
144,39.655172
145,40.170940
146,39.830508
147,39.495798
148,40.000000
149,39.669421
150,39.344262
151,39.837398
152,39.516129
153,40.000000
154,39.682540
155,39.370079
156,39.062500
157,38.759690
158,38.461538
159,38.167939
160,37.878788
161,38.345865
162,38.059701
163,38.518519
164,38.235294
165,38.686131
166,38.405797
167,38.129496
168,37.857143
169,37.588652
170,38.028169
171,37.762238
172,38.194444
173,38.620690
174,38.356164
175,38.095238
176,37.837838
177,37.583893
178,37.333333
179,37.086093
180,37.500000
181,37.254902
182,37.662338
183,37.419355
184,37.419355
185,37.179487
186,36.942675
187,36.708861
188,36.477987
189,36.250000
190,36.645963
191,37.037037
192,36.809816
193,36.585366
194,36.363636
195,36.746988
196,36.526946
197,36.526946
198,36.309524
199,36.094675
200,35.882353
201,36.257310
202,36.046512
203,36.416185
204,36.781609
205,36.571429
206,36.931818
207,36.723164
208,37.078652
209,36.871508
210,37.222222
211,37.016575
212,36.813187
213,37.158470
214,36.956522
215,36.756757
216,36.559140
217,36.898396
218,37.234043
219,37.037037
220,37.368421
221,37.172775
222,36.979167
223,37.305699
224,37.113402
225,36.923077
226,36.734694
227,36.548223
228,36.868687
